CEO,Year,Ticker,Company,mean_daily_return,final_year_cum_ret_daily,final_tenure_cum_ret_daily,year_cum_ret_overall,tenure_cum_ret_overall
Aart de Geus,2010,SNPS,"Synopsys, Inc.",0.000800610899003158,1.1991978256226095,1.1991978256226095,1.1991978256226095,6.198752352630331
Aart de Geus,2011,SNPS,"Synopsys, Inc.",0.00016088520949892433,1.01077669703351,1.2121212172725884,1.01077669703351,6.198752352630331
Aart de Geus,2012,SNPS,"Synopsys, Inc.",0.0006988393801145478,1.1705882080698509,1.4188948036905649,1.1705882080698509,6.198752352630331
Aart de Geus,2013,SNPS,"Synopsys, Inc.",0.0010115419909127996,1.2741834013944457,1.8079322071873547,1.2741834013944457,6.198752352630331
Aart de Geus,2014,SNPS,"Synopsys, Inc.",0.00033458472919102697,1.0714814283385086,1.9371657836962972,1.0714814283385086,6.198752352630331
Aart de Geus,2015,SNPS,"Synopsys, Inc.",0.0002797664801529175,1.0492293381539923,2.0325311731222233,1.0492293381539923,6.198752352630331
Aart de Geus,2016,SNPS,"Synopsys, Inc.",0.0010767622774958386,1.2905064639923032,2.622994617180088,1.2905064639923032,6.198752352630331
Aart de Geus,2017,SNPS,"Synopsys, Inc.",0.0015241565783045146,1.4481820757707997,3.7985737894435005,1.4481820757707997,6.198752352630331
Aart de Geus,2018,SNPS,"Synopsys, Inc.",7.188319231239522e-05,0.9882684182888155,3.7540105106466886,0.9882684182888155,6.198752352630331
Aart de Geus,2019,SNPS,"Synopsys, Inc.",0.002121978889839664,1.6512346822285544,6.198752352630331,1.6512346822285544,6.198752352630331
Anders Gustafsson,2010,ZBRA,Zebra Technologies Corporation,0.0012526080638344031,1.3250785342647808,1.3250785342647808,1.3250785342647808,8.863271710294308
Anders Gustafsson,2011,ZBRA,Zebra Technologies Corporation,1.5954587668042658e-06,0.9418267227815725,1.2479943733548096,0.9418267227815725,8.863271710294308
Anders Gustafsson,2012,ZBRA,Zebra Technologies Corporation,0.00046496422830661423,1.098658544282476,1.3711196815027158,1.098658544282476,8.863271710294308
Anders Gustafsson,2013,ZBRA,Zebra Technologies Corporation,0.001338565261848965,1.3757313645834444,1.886292350440949,1.3757313645834444,8.863271710294308
Anders Gustafsson,2014,ZBRA,Zebra Technologies Corporation,0.0016145713589159004,1.43139794824596,2.700035000213216,1.43139794824596,8.863271710294308
Anders Gustafsson,2015,ZBRA,Zebra Technologies Corporation,-4.559293366878773e-05,0.899754530821333,2.4293687248180187,0.899754530821333,8.863271710294308
Anders Gustafsson,2016,ZBRA,Zebra Technologies Corporation,0.0012378363039227134,1.2312993576082822,2.991280150262077,1.2312993576082822,8.863271710294308
Anders Gustafsson,2017,ZBRA,Zebra Technologies Corporation,0.0008782384917848377,1.2103544830475963,3.6205093399209893,1.2103544830475963,8.863271710294308
Anders Gustafsson,2018,ZBRA,Zebra Technologies Corporation,0.0020183512200575406,1.534007620868203,5.553888918863299,1.534007620868203,8.863271710294308
Anders Gustafsson,2019,ZBRA,Zebra Technologies Corporation,0.002148889607252818,1.5958676595405026,8.863271710294308,1.5958676595405026,8.863271710294308
Anthony Moraco,2013,SAIC,Science Applications International Corporation,0.0010731211853079654,1.0612219797396978,1.0612219797396978,1.0612219797396978,2.275312482503536
Anthony Moraco,2014,SAIC,Science Applications International Corporation,0.0018423844280601406,1.539695037641567,1.6339582160413701,1.539695037641567,2.275312482503536
Anthony Moraco,2015,SAIC,Science Applications International Corporation,-5.152899805963536e-05,0.9469567436139381,1.547287751463774,0.9469567436139381,2.275312482503536
Anthony Moraco,2016,SAIC,Science Applications International Corporation,0.002691694336456158,1.894977948236437,2.932076168600196,1.894977948236437,2.275312482503536
Anthony Moraco,2017,SAIC,Science Applications International Corporation,-0.00012285260079796447,0.9181807949958778,2.6921760274737996,0.9181807949958778,2.275312482503536
Anthony Moraco,2018,SAIC,Science Applications International Corporation,-0.000488431064057143,0.845157396575799,2.275312482503536,0.845157396575799,2.275312482503536
Arkadiy Dobkin,2010,EPAM,"EPAM Systems, Inc.",,,,1.0,15.0364281790597
Arkadiy Dobkin,2011,EPAM,"EPAM Systems, Inc.",,,,1.0,15.0364281790597
Arkadiy Dobkin,2012,EPAM,"EPAM Systems, Inc.",0.0015801024978878686,1.2928571701049794,1.2928571701049794,1.2928571701049794,15.0364281790597
Arkadiy Dobkin,2013,EPAM,"EPAM Systems, Inc.",0.002803346277605666,1.9303866237748564,2.495714187622063,1.9303866237748564,15.0364281790597
Arkadiy Dobkin,2014,EPAM,"EPAM Systems, Inc.",0.001694680684316572,1.3666285597246384,3.4107142857142865,1.3666285597246384,15.0364281790597
Arkadiy Dobkin,2015,EPAM,"EPAM Systems, Inc.",0.002175182638175789,1.6464922041169021,5.615714481898714,1.6464922041169021,15.0364281790597
Arkadiy Dobkin,2016,EPAM,"EPAM Systems, Inc.",-0.0005702947990068227,0.8179851858551304,4.593571254185272,0.8179851858551304,15.0364281790597
Arkadiy Dobkin,2017,EPAM,"EPAM Systems, Inc.",0.0021385888801010756,1.6705023228665923,7.67357145036971,1.6705023228665923,15.0364281790597
Arkadiy Dobkin,2018,EPAM,"EPAM Systems, Inc.",0.0004885486768546348,1.0798659760465554,8.28642872401646,1.0798659760465554,15.0364281790597
Arkadiy Dobkin,2019,EPAM,"EPAM Systems, Inc.",0.0025556940797235414,1.8145848688084145,15.0364281790597,1.8145848688084145,15.0364281790597
Badri Kothandaraman,2018,ENPH,"Enphase Energy, Inc.",0.0040035154576864,1.962655539675276,1.962655539675276,1.962655539675276,10.526970927674796
Badri Kothandaraman,2019,ENPH,"Enphase Energy, Inc.",0.007775735504908139,5.363636519435536,10.526970927674796,5.363636519435536,10.526970927674796
Bob Swan,2018,INTC,Intel Corporation,0.0003924326420966106,1.042265622431307,1.042265622431307,1.042265622431307,1.3571302848270796
Bob Swan,2019,INTC,Intel Corporation,0.0011980030614466982,1.302096371231437,1.3571302848270796,1.302096371231437,1.3571302848270796
Brad Smith,2010,INTU,Intuit Inc.,0.0020360153947694953,1.6001292807956167,1.6001292807956167,1.6001292807956167,6.90766705537878
Brad Smith,2011,INTU,Intuit Inc.,0.00044466798920321185,1.0701571484778551,1.71238978833216,1.0701571484778551,6.90766705537878
Brad Smith,2012,INTU,Intuit Inc.,0.0006213167826415718,1.1431601876291242,1.9575358317239895,1.1431601876291242,6.90766705537878
Brad Smith,2013,INTU,Intuit Inc.,0.001112762431400144,1.2972708331467184,2.539454139335131,1.2972708331467184,6.90766705537878
Brad Smith,2014,INTU,Intuit Inc.,0.0008538534179833134,1.2205564757259166,3.0995471945744786,1.2205564757259166,6.90766705537878
Brad Smith,2015,INTU,Intuit Inc.,0.0003697900621174015,1.0584774937107493,3.2808009461513876,1.0584774937107493,6.90766705537878
Brad Smith,2016,INTU,Intuit Inc.,0.0008069846700815004,1.20167092644763,3.9424431124519974,1.20167092644763,6.90766705537878
Brad Smith,2017,INTU,Intuit Inc.,0.001380544458688117,1.392142973342369,5.488444476802068,1.392142973342369,6.90766705537878
Brad Smith,2018,INTU,Intuit Inc.,0.0010717457054033083,1.2585837543907628,6.90766705537878,1.2585837543907628,6.90766705537878
Brian Crutcher,2018,TXN,Texas Instruments Inc.,-0.00010733912434005375,0.9283048771992116,0.9283048771992116,0.9283048771992116,1.2892119872131604
Brian Crutcher,2019,TXN,Texas Instruments Inc.,0.0014515308058956316,1.388780796997255,1.2892119872131604,1.388780796997255,1.2892119872131604
Brian Humphries,2019,CTSH,Cognizant Technology Solutions Corporation,4.540166193846268e-05,0.9833780125128374,0.9833780125128374,0.9833780125128374,0.9833780125128374
Brian Krzanich,2013,INTC,Intel Corporation,0.0011544698394397176,1.309200427341777,1.309200427341777,1.309200427341777,2.6279421219515156
Brian Krzanich,2014,INTC,Intel Corporation,0.001550239413986562,1.4422399385387048,1.8881811438642537,1.4422399385387048,2.6279421219515156
Brian Krzanich,2015,INTC,Intel Corporation,2.8770887848371815e-05,0.9778604320430323,1.8463776291146075,0.9778604320430323,2.6279421219515156
Brian Krzanich,2016,INTC,Intel Corporation,0.00043451501446982915,1.087564236342805,2.008054276208467,1.087564236342805,2.6279421219515156
Brian Krzanich,2017,INTC,Intel Corporation,0.001130052521318047,1.3087007423492052,2.6279421219515156,1.3087007423492052,2.6279421219515156
Christine A. Leahy,2017,CDW,CDW Corporation,0.0012667860607355936,1.3491674666624927,1.3491674666624927,1.3491674666624927,2.8355172730667593
Christine A. Leahy,2018,CDW,CDW Corporation,0.0008063011793997725,1.1797504962980463,1.5916809883842546,1.1797504962980463,2.8355172730667593
Christine A. Leahy,2019,CDW,CDW Corporation,0.002422983778627057,1.7814607913016216,2.8355172730667593,1.7814607913016216,2.8355172730667593
Chuck Robbins,2015,CSCO,"Cisco Systems, Inc.",0.0001304154298108982,1.0061955778081109,1.0061955778081109,1.0061955778081109,2.00200065232809
Chuck Robbins,2016,CSCO,"Cisco Systems, Inc.",0.0006507769361067228,1.1513369343836604,1.1584701319439858,1.1513369343836604,2.00200065232809
Chuck Robbins,2017,CSCO,"Cisco Systems, Inc.",0.0011336263356813065,1.312682635178987,1.520703625576381,1.312682635178987,2.00200065232809
Chuck Robbins,2018,CSCO,"Cisco Systems, Inc.",0.0007496428791037278,1.1657161492536363,1.772708774562941,1.1657161492536363,2.00200065232809
Chuck Robbins,2019,CSCO,"Cisco Systems, Inc.",0.0006043266095664112,1.1293454858774965,2.00200065232809,1.1293454858774965,2.00200065232809
Dan Schulman,2015,PYPL,"PayPal Holdings, Inc.",0.00012784056426046054,0.9861073369529834,0.9861073369529834,0.9861073369529834,2.941160455284812
Dan Schulman,2016,PYPL,"PayPal Holdings, Inc.",0.0005009560237138002,1.090331511494948,1.0751839031962045,1.090331511494948,2.941160455284812
Dan Schulman,2017,PYPL,"PayPal Holdings, Inc.",0.0025834970309627997,1.8652140471337677,2.005448119493674,1.8652140471337677,2.941160455284812
Dan Schulman,2018,PYPL,"PayPal Holdings, Inc.",0.0007572053441154063,1.1422167147159659,2.2906563625813754,1.1422167147159659,2.941160455284812
Dan Schulman,2019,PYPL,"PayPal Holdings, Inc.",0.001124449139984505,1.283981527447606,2.941160455284812,1.283981527447606,2.941160455284812
David Foss,2017,JKHY,"Jack Henry & Associates, Inc.",0.0011742349026932486,1.3334679371975284,1.3334679371975284,1.3334679371975284,1.6951059502691288
David Foss,2018,JKHY,"Jack Henry & Associates, Inc.",0.0004363326418575807,1.0938188255886554,1.4585723330255256,1.0938188255886554,1.6951059502691288
David Foss,2019,JKHY,"Jack Henry & Associates, Inc.",0.0006561412414321296,1.1621679034271546,1.6951059502691288,1.1621679034271546,1.6951059502691288
David J. Aldrich,2010,SWKS,"Skyworks Solutions, Inc.",0.0028897787391886126,1.9318487875692283,1.9318487875692283,1.9318487875692283,6.697394865126052
David J. Aldrich,2011,SWKS,"Skyworks Solutions, Inc.",-0.0015694094306751372,0.5665385698528065,1.0944668492813467,0.5665385698528065,6.697394865126052
David J. Aldrich,2012,SWKS,"Skyworks Solutions, Inc.",0.0014152807851459807,1.2515415383508004,1.3697707242235297,1.2515415383508004,6.697394865126052
David J. Aldrich,2013,SWKS,"Skyworks Solutions, Inc.",0.0015993963520752378,1.4068964681787013,1.9271255941246657,1.4068964681787013,6.697394865126052
David J. Aldrich,2014,SWKS,"Skyworks Solutions, Inc.",0.004014691818000531,2.563531102688793,4.9402463993262,2.563531102688793,6.697394865126052
David J. Aldrich,2015,SWKS,"Skyworks Solutions, Inc.",0.0005498670677047555,1.0664206774432319,5.268380911905939,1.0664206774432319,6.697394865126052
David J. Aldrich,2016,SWKS,"Skyworks Solutions, Inc.",0.00025057128355137297,0.9878540559003697,5.2043914518543675,0.9878540559003697,6.697394865126052
David J. Aldrich,2017,SWKS,"Skyworks Solutions, Inc.",0.0011453986820788831,1.2868737732515692,6.697394865126052,1.2868737732515692,6.697394865126052
David Mosley,2018,STX,Seagate Technology Holdings PLC,0.00015057108851369258,0.9709964646212271,0.9709964646212271,0.9709964646212271,1.56882483010194
David Mosley,2019,STX,Seagate Technology Holdings PLC,0.002104891569486587,1.615685419322217,1.56882483010194,1.615685419322217,1.56882483010194
Dion Weisler,2015,HPQ,HP Inc.,-0.0013706933578461402,0.6671850834372265,0.6671850834372265,0.6671850834372265,1.2624813162581106
Dion Weisler,2016,HPQ,HP Inc.,0.0012429083808491368,1.301528887293181,0.8683606592646631,1.301528887293181,1.2624813162581106
Dion Weisler,2017,HPQ,HP Inc.,0.0015812762048995586,1.4569165289516537,1.2651289975740434,1.4569165289516537,1.2624813162581106
Dion Weisler,2018,HPQ,HP Inc.,0.000143898766570769,0.9979071847052674,1.2624813162581106,0.9979071847052674,1.2624813162581106
Dirk Meyer,2010,AMD,"Advanced Micro Devices, Inc.",-0.0002742386844604526,0.843299017115701,0.843299017115701,0.843299017115701,0.843299017115701
Eddie Edwards,2010,COMM,"CommScope Holding Company, Inc.",,,,1.0,0.9239493390890515
Eddie Edwards,2011,COMM,"CommScope Holding Company, Inc.",,,,1.0,0.9239493390890515
Eddie Edwards,2012,COMM,"CommScope Holding Company, Inc.",,,,1.0,0.9239493390890515
Eddie Edwards,2013,COMM,"CommScope Holding Company, Inc.",0.005338941214565813,1.2628419342373163,1.2628419342373163,1.2628419342373163,0.9239493390890515
Eddie Edwards,2014,COMM,"CommScope Holding Company, Inc.",0.0010041353508529424,1.2060221635318182,1.523015361727591,1.2060221635318182,0.9239493390890515
Eddie Edwards,2015,COMM,"CommScope Holding Company, Inc.",0.0007466594814956591,1.134034142626737,1.7271514199440947,1.134034142626737,0.9239493390890515
Eddie Edwards,2016,COMM,"CommScope Holding Company, Inc.",0.001669323629757283,1.4368482672816563,2.4816545250797226,1.4368482672816563,0.9239493390890515
Eddie Edwards,2017,COMM,"CommScope Holding Company, Inc.",0.00023257221635157715,1.0169355122364092,2.5236826156557517,1.0169355122364092,0.9239493390890515
Eddie Edwards,2018,COMM,"CommScope Holding Company, Inc.",-0.002920044079180204,0.4332539940876737,1.0933955730424796,0.4332539940876737,0.9239493390890515
Eddie Edwards,2019,COMM,"CommScope Holding Company, Inc.",-0.00012015072979127448,0.8450275105084536,0.9239493390890515,0.8450275105084536,0.9239493390890515
Enrique Lores,2019,HPQ,HP Inc.,0.00034495688046933985,1.0356948725777955,1.0356948725777955,1.0356948725777955,1.0356948725777955
Francisco D’Souza,2010,CTSH,Cognizant Technology Solutions Corporation,0.001965987562946478,1.5660260628336458,1.5660260628336458,1.5660260628336458,2.7595101061815117
Francisco D’Souza,2011,CTSH,Cognizant Technology Solutions Corporation,-0.00022514430467572102,0.8774729234077568,1.3741454674873759,0.8774729234077568,2.7595101061815117
Francisco D’Souza,2012,CTSH,Cognizant Technology Solutions Corporation,0.0007756172892429452,1.1488101446964594,1.5786322533381585,1.1488101446964594,2.7595101061815117
Francisco D’Souza,2013,CTSH,Cognizant Technology Solutions Corporation,0.001357680096598115,1.3668117057045104,2.1576930428652816,1.3668117057045104,2.7595101061815117
Francisco D’Souza,2014,CTSH,Cognizant Technology Solutions Corporation,0.0003102693524347645,1.0429787781635462,2.250428053499613,1.0429787781635462,2.7595101061815117
Francisco D’Souza,2015,CTSH,Cognizant Technology Solutions Corporation,0.0006527864301616863,1.1397646550108975,2.5649583540238274,1.1397646550108975,2.7595101061815117
Francisco D’Souza,2016,CTSH,Cognizant Technology Solutions Corporation,-8.365487229550614e-05,0.9335219399463599,2.3944448985299465,0.9335219399463599,2.7595101061815117
Francisco D’Souza,2017,CTSH,Cognizant Technology Solutions Corporation,0.0010213605425186771,1.27574219974822,3.054694402026492,1.27574219974822,2.7595101061815117
Francisco D’Souza,2018,CTSH,Cognizant Technology Solutions Corporation,-0.00029861764206136614,0.903366996171809,2.7595101061815117,0.903366996171809,2.7595101061815117
Frank Slootman,2012,NOW,"ServiceNow, Inc.",0.0021672737856841024,1.2207317162997282,1.2207317162997282,1.2207317162997282,3.021951023784874
Frank Slootman,2013,NOW,"ServiceNow, Inc.",0.0028448018371155493,1.8651347665949667,2.276829164755766,1.8651347665949667,3.021951023784874
Frank Slootman,2014,NOW,"ServiceNow, Inc.",0.0011606980871749042,1.2113908321264117,2.7581299765031684,1.2113908321264117,3.021951023784874
Frank Slootman,2015,NOW,"ServiceNow, Inc.",0.00116832359046375,1.2757553353757096,3.5186990331836037,1.2757553353757096,3.021951023784874
Frank Slootman,2016,NOW,"ServiceNow, Inc.",-0.00022173519122411174,0.8588262296052964,3.021951023784874,0.8588262296052964,3.021951023784874
François Locoh-Donou,2017,FFIV,"F5, Inc.",-0.00029163746611454955,0.9067164186972891,0.9067164186972891,0.9067164186972891,0.9624792158045299
François Locoh-Donou,2018,FFIV,"F5, Inc.",0.0009757832932665942,1.2347965041302937,1.1196102640449503,1.2347965041302937,0.9624792158045299
François Locoh-Donou,2019,FFIV,"F5, Inc.",-0.0004667310685723187,0.8596555843702842,0.9624792158045299,0.8596555843702842,0.9624792158045299
Fred Luddy,2010,NOW,"ServiceNow, Inc.",,,,1.0,1.0
Fred Luddy,2011,NOW,"ServiceNow, Inc.",,,,1.0,1.0
Gary E. Dickerson,2013,AMAT,"Applied Materials, Inc.",0.0019483329392716482,1.5855324133212823,1.5855324133212823,1.5855324133212823,6.036440444679994
Gary E. Dickerson,2014,AMAT,"Applied Materials, Inc.",0.0015685105379362693,1.4369551877734283,2.2783390267049435,1.4369551877734283,6.036440444679994
Gary E. Dickerson,2015,AMAT,"Applied Materials, Inc.",-0.0009195495770680095,0.7648358994538496,1.742555478750684,0.7648358994538496,6.036440444679994
Gary E. Dickerson,2016,AMAT,"Applied Materials, Inc.",0.002428361639333469,1.757024056049221,3.061711895165324,1.757024056049221,6.036440444679994
Gary E. Dickerson,2017,AMAT,"Applied Materials, Inc.",0.0020092410147290775,1.598613071456642,4.894492656645586,1.598613071456642,6.036440444679994
Gary E. Dickerson,2018,AMAT,"Applied Materials, Inc.",-0.0013932136090375983,0.6507799889909677,3.185237877208186,0.6507799889909677,6.036440444679994
Gary E. Dickerson,2019,AMAT,"Applied Materials, Inc.",0.002802625812745239,1.895130184113862,6.036440444679994,1.895130184113862,6.036440444679994
Gary Smith,2010,CIEN,Ciena Corporation,0.0030116676574075984,1.9101631908037415,1.9101631908037415,1.9101631908037415,3.8693282775327202
Gary Smith,2011,CIEN,Ciena Corporation,-0.0012450746123727216,0.5748218916876024,1.098003618769834,0.5748218916876024,3.8693282775327202
Gary Smith,2012,CIEN,Ciena Corporation,0.0015765146454461737,1.2975206044876288,1.4246823191558389,1.2975206044876288,3.8693282775327202
Gary Smith,2013,CIEN,Ciena Corporation,0.0020751355718820145,1.5242038596111225,2.171506289577051,1.5242038596111225,3.8693282775327202
Gary Smith,2014,CIEN,Ciena Corporation,-0.00048750883752125937,0.8111157375628606,1.761342925692681,0.8111157375628606,3.8693282775327202
Gary Smith,2015,CIEN,Ciena Corporation,0.0005066272785637384,1.0659454248690357,1.877495433267556,1.0659454248690357,3.8693282775327202
Gary Smith,2016,CIEN,Ciena Corporation,0.0010405409605778561,1.1797969655549823,2.215063415012399,1.1797969655549823,3.8693282775327202
Gary Smith,2017,CIEN,Ciena Corporation,-0.00039945807378565526,0.8574354951253607,1.8992739959852316,0.8574354951253607,3.8693282775327202
Gary Smith,2018,CIEN,Ciena Corporation,0.002138253591732447,1.6201624153357723,3.0771323447198533,1.6201624153357723,3.8693282775327202
Gary Smith,2019,CIEN,Ciena Corporation,0.001265059214259402,1.2574461687266156,3.8693282775327202,1.2574461687266156,3.8693282775327202
Gene Hall,2010,IT,"Gartner, Inc.",0.002441698242053628,1.77540103788321,1.77540103788321,1.77540103788321,8.169518611743975
Gene Hall,2011,IT,"Gartner, Inc.",0.00039448751736935,1.0472891463477556,1.8593582373896245,1.0472891463477556,8.169518611743975
Gene Hall,2012,IT,"Gartner, Inc.",0.0012220265235640393,1.323554784351119,2.4609624909196994,1.323554784351119,8.169518611743975
Gene Hall,2013,IT,"Gartner, Inc.",0.0018148590351334908,1.5438940101047167,3.799465248823308,1.5438940101047167,8.169518611743975
Gene Hall,2014,IT,"Gartner, Inc.",0.0007701041290046323,1.1852216110832288,4.503208323465099,1.1852216110832288,8.169518611743975
Gene Hall,2015,IT,"Gartner, Inc.",0.0003709569076334753,1.0770692071526953,4.850267018597965,1.0770692071526953,8.169518611743975
Gene Hall,2016,IT,"Gartner, Inc.",0.0005241266293619902,1.1143329999503726,5.404812597394612,1.1143329999503726,8.169518611743975
Gene Hall,2017,IT,"Gartner, Inc.",0.0008652871229981645,1.218462470542437,6.585561310240324,1.218462470542437,8.169518611743975
Gene Hall,2018,IT,"Gartner, Inc.",0.0002635999192423851,1.038083595240769,6.836363161612789,1.038083595240769,8.169518611743975
Gene Hall,2019,IT,"Gartner, Inc.",0.0008620890369028685,1.1950094543860763,8.169518611743975,1.1950094543860763,8.169518611743975
George Kurian,2016,NTAP,"NetApp, Inc.",0.0014619375502537223,1.3655987724964875,1.3655987724964875,1.3655987724964875,2.5436422504750573
George Kurian,2017,NTAP,"NetApp, Inc.",0.002000520540980377,1.5994455248848163,2.1842008454577018,1.5994455248848163,2.5436422504750573
George Kurian,2018,NTAP,"NetApp, Inc.",0.0006138128416750362,1.0966869579929464,2.39538458085063,1.0966869579929464,2.5436422504750573
